sample,_study,EIF4A1,EIF4E,EIF4G1,EIF4EBP1,RPS6KB1,MYC,_sample_type,primary disease or tissue,OS,OS.time
GTEX-ZYFD-1026-SM-5E43Z,GTEX,16.6549,12.1007,14.8498,9.5213,11.3909,13.2887,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-U412-0006-SM-3DB8J,GTEX,16.5428,10.2741,12.3982,10.5402,9.0813,9.9038,Normal Tissue,Whole Blood,,
GTEX-13NYB-0926-SM-5IFFA,GTEX,16.2618,12.2481,14.1509,11.4309,10.9888,11.1783,Normal Tissue,Esophagus - Mucosa,,
GTEX-XQ3S-0006-SM-4BOQ4,GTEX,16.2589,8.1511,12.9418,11.3572,7.6935,10.4336,Normal Tissue,Whole Blood,,
GTEX-11GSO-0005-SM-5O9CA,GTEX,16.2414,9.7925,13.1751,11.963,8.6598,10.1757,Normal Tissue,Whole Blood,,
GTEX-X4EP-0011-R3A-SM-3P626,GTEX,16.1721,11.3853,13.2361,9.4032,10.3127,9.6069,Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),,
GTEX-Y114-1326-SM-4TT9A,GTEX,16.1483,11.7713,14.3888,11.5255,10.7003,15.2885,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13PVQ-1026-SM-5KM3M,GTEX,16.1221,11.7305,14.1479,10.1086,11.1221,13.8719,Normal Tissue,Breast - Mammary Tissue,,
GTEX-RWSA-1726-SM-47JX7,GTEX,16.0372,11.1985,15.1637,7.8765,11.4698,13.616,Normal Tissue,Adrenal Gland,,
GTEX-QXCU-1326-SM-48FE2,GTEX,16.0271,10.8063,14.7487,7.7894,11.0138,12.5402,Normal Tissue,Adrenal Gland,,
GTEX-1339X-2726-SM-5PNYU,GTEX,16.0069,11.48,14.0341,11.3303,10.5675,13.2575,Normal Tissue,Nerve - Tibial,,
GTEX-ZTX8-0726-SM-59HL9,GTEX,15.9385,11.1467,14.4457,9.5874,10.919,15.3525,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13PVQ-2226-SM-5L3G9,GTEX,15.926,11.7036,14.0326,10.0136,11.2043,13.2722,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13QBU-1326-SM-5LU4K,GTEX,15.912,11.7755,14.3583,10.9302,10.8282,14.9171,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-VUSH-0526-SM-3NB2J,GTEX,15.9094,11.8618,14.4294,9.3163,11.3902,14.1321,Normal Tissue,Artery - Tibial,,
GTEX-13X6H-1726-SM-5Q5EH,GTEX,15.8875,10.7394,13.6363,11.7985,9.2836,13.9627,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11EM3-1126-SM-5A5KM,GTEX,15.8851,11.4661,14.5136,10.1463,10.791,14.9612,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZTSS-1026-SM-5985N,GTEX,15.8758,11.5387,14.5854,11.0827,10.9826,15.5184,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-Y5LM-0826-SM-4VDSW,GTEX,15.8737,11.812,14.2206,12.3575,10.5715,13.543,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-X4EP-0011-R4B-SM-3P627,GTEX,15.8502,11.2461,13.4631,9.7402,10.4729,10.0415,Normal Tissue,Brain - Amygdala,,
GTEX-X4EP-0011-R1A-SM-3P624,GTEX,15.8445,11.5733,13.1505,9.841,10.4585,8.7413,Normal Tissue,Brain - Hippocampus,,
GTEX-ZA64-0926-SM-5HL7H,GTEX,15.8416,11.4556,14.6897,11.5793,10.8194,14.5792,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZTTD-0006-SM-51MSJ,GTEX,15.8315,9.9607,13.0339,11.5761,9.4835,10.2116,Normal Tissue,Whole Blood,,
GTEX-ZXES-0926-SM-5E43O,GTEX,15.8095,11.2348,14.4882,11.2554,10.8936,14.9248,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13RTK-0726-SM-5Q5EN,GTEX,15.7916,11.2227,14.3281,11.6971,10.6338,15.1184,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZV7C-0826-SM-59HK8,GTEX,15.779,11.5035,14.1579,10.7251,10.7799,14.2431,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13CZV-0006-SM-5P9IN,GTEX,15.7737,9.0343,13.5207,11.4232,8.1728,8.9012,Normal Tissue,Whole Blood,,
GTEX-Q2AG-1326-SM-43V8K,GTEX,15.7639,11.6263,14.3977,11.2782,10.8838,11.6279,Normal Tissue,Esophagus - Mucosa,,
GTEX-ZYFD-0626-SM-5E44E,GTEX,15.7542,11.4023,14.5573,9.4613,10.9232,14.6666,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-ZYVF-0626-SM-5E43Q,GTEX,15.7421,12.6112,15.4216,10.3955,11.3276,13.5339,Normal Tissue,Muscle - Skeletal,,
GTEX-ZVZP-0008-SM-51MSX,GTEX,15.7115,11.4893,14.595,11.6756,10.5373,12.4753,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11P82-0326-SM-5HL51,GTEX,15.6947,10.7831,14.3432,11.4359,10.2569,15.1077,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-12WSA-0005-SM-5O9BM,GTEX,15.688,7.8361,12.1479,11.9477,7.0668,8.8862,Normal Tissue,Whole Blood,,
GTEX-ZV7C-0926-SM-59HL1,GTEX,15.6841,11.4753,14.093,10.652,10.7641,14.1568,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-14C39-0005-SM-5NQBR,GTEX,15.6812,10.5005,13.4206,11.4024,9.0754,10.1158,Normal Tissue,Whole Blood,,
GTEX-13PL7-1226-SM-5SIAR,GTEX,15.6804,11.344,14.1156,11.0879,10.6271,15.3656,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-O5YU-0008-SM-4E3I7,GTEX,15.6728,11.6767,14.7155,11.8247,10.2508,12.8458,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-1399Q-0005-SM-5NQAG,GTEX,15.6717,10.483,13.5444,11.5796,9.9225,11.1109,Normal Tissue,Whole Blood,,
GTEX-13S7M-2226-SM-5S2WB,GTEX,15.6597,11.2111,13.3124,10.4689,10.7448,11.5849,Normal Tissue,Artery - Coronary,,
